Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access,Primary_AI_Tool,Num_AI_Tools_Used,Academic_Use_Flag,Usage_Bucket
Rudra,"Kapol Vidyanidhi College Of Management And Technology,",Hotel-Management,3,Gemini,4.9,"Content Writing, Resume Writing, Assignments",1,-3,True,Copilot,4,False,Maharashtra,Mobile,Medium,Gemini,1,True,High (3h+)
Dhruv,University College Of Medical Sciences,Medical,3,ChatGPT,1.1,"Doubt Solving, Coding Help",1,2,False,Copilot,9,False,Delhi Ncr,Laptop,Medium,ChatGPT,1,False,Medium (1-3h)
Kabir,"Al-Karim University, Katihar",Medical,2,Bard,0.7,"Doubt Solving, Content Writing, MCQ Practice",1,-5,False,Claude,7,False,Bihar,Laptop,Medium,Bard,1,False,Low (<1h)
Atharv,"Faculty Of Management Sciences And Liberal Arts,",Management,4,ChatGPT,4.5,"Resume Writing, Coding Help",2,-1,False,Claude,10,False,Himachal Pradesh,Laptop,High,ChatGPT,1,False,High (3h+)
Om,Sardar Bhagwan Singh University,Commerce,4,ChatGPT,4.1,Doubt Solving,2,1,False,Gemini,7,False,Uttarakhand,Laptop,Poor,ChatGPT,1,False,High (3h+)
Anaya,North-Eastern Hill University,Commerce,4,Other,0.9,"Learning new topics, Content Writing",3,-3,False,ChatGPT,2,False,Meghalaya,Mobile,Poor,Other,1,True,Low (<1h)
Siya,"Scott Christian College, Nagercoil",Science,1,Other,3.8,Doubt Solving,1,4,False,Other,2,True,Tamil Nadu,Laptop,Medium,Other,1,False,High (3h+)
Diya,"Government Saiha College, Saiha",Arts,4,Other,0.7,"Content Writing, Learning new topics",1,4,True,Gemini,8,True,Mizoram,Mobile,Poor,Other,1,True,Low (<1h)
Myra,Sant Baba Bhag Singh University,Management,3,ChatGPT,3.9,"MCQ Practice, Project Work, Exam Preparation",5,4,True,Bard,5,True,Punjab,Mobile,High,ChatGPT,1,False,High (3h+)
Aadhya,Mumbai University,Agriculture,3,Copilot,2.1,Resume Writing,5,5,False,ChatGPT,3,False,Maharashtra,Mobile,Medium,Copilot,1,False,Medium (1-3h)
Riya,Apex Professional University,Hotel-Management,2,Claude,2.4,"Resume Writing, Learning new topics",3,0,True,ChatGPT,3,False,Arunachal Pradesh,Tablet,Poor,Claude,1,True,Medium (1-3h)
Pari,Farooqia College Of Pharmacy,Pharmacy,1,Copilot,2.5,"Exam Preparation, Doubt Solving",4,-1,True,Bard,2,True,Karnataka,Laptop,Poor,Copilot,1,False,Medium (1-3h)
Anika,Baosi Banikanta Kakati College,Science,3,Other,3.6,"Doubt Solving, Content Writing",1,-2,False,Bard,1,False,Assam,Mobile,High,Other,1,False,High (3h+)
Ira,"Dav College, Jalandhar",Arts,2,Gemini,3.9,"Learning new topics, Coding Help",1,2,False,Gemini,3,True,Punjab,Tablet,High,Gemini,1,True,High (3h+)
Meera,"Loyola Academy Degree And Pg College, Secunderabad",Commerce,2,Bard,3.0,"Learning new topics, Coding Help, MCQ Practice",1,1,True,Claude,2,True,Telangana,Tablet,High,Bard,1,True,Medium (1-3h)
Saanvi,Psg Institute Of Medical Sciences And Research,Medical,4,Other,3.4,"Coding Help, Project Work",1,0,True,Bard,8,False,Tamil Nadu,Mobile,Poor,Other,1,False,High (3h+)
Navya,Arunachal University Of Studies,Management,1,Gemini,2.5,"Doubt Solving, Coding Help",4,-1,False,Gemini,6,False,Arunachal Pradesh,Mobile,Medium,Gemini,1,False,Medium (1-3h)
Aarohi,Sri Padmavati Mahila Visvavidyalayam,Law,1,Bard,2.8,"Learning new topics, Resume Writing",2,-4,True,Copilot,4,False,Andhra Pradesh,Tablet,Medium,Bard,1,True,Medium (1-3h)
Prisha,Lady Shri Ram College For Women,Commerce,1,Gemini,4.8,"Exam Preparation, Doubt Solving, Project Work",5,4,False,Other,10,False,Delhi Ncr,Tablet,Poor,Gemini,1,False,High (3h+)
Ishita,"Ramjas College, New Delhi",Commerce,2,Claude,0.8,"Content Writing, Doubt Solving",5,-5,False,Bard,2,True,Delhi Ncr,Laptop,Medium,Claude,1,False,Low (<1h)
Rakhi,"Al-Karim University, Katihar",Medical,1,ChatGPT,2.2,"Coding Help, Doubt Solving",5,4,False,Claude,10,True,Bihar,Laptop,Poor,ChatGPT,1,False,Medium (1-3h)
Ramya,"Thiagarajar College, Madurai",Commerce,2,Copilot,3.2,"Resume Writing, Assignments, MCQ Practice",1,0,True,Bard,3,True,Tamil Nadu,Mobile,Poor,Copilot,1,True,High (3h+)
Sneha,"Fergusson College, Pune",Arts,4,Claude,2.9,"Resume Writing, Learning new topics, Doubt Solving",3,1,False,Copilot,10,True,Maharashtra,Tablet,Poor,Claude,1,True,Medium (1-3h)
Divya,"Sage University, Indore",Law,3,ChatGPT,2.0,"Project Work, Content Writing, Resume Writing",5,-3,False,ChatGPT,10,True,Madhya Pradesh,Laptop,High,ChatGPT,1,False,Medium (1-3h)
Neha,Pvkn Govt Degree College,Science,4,Gemini,3.2,Content Writing,5,1,False,Gemini,9,False,Andhra Pradesh,Tablet,High,Gemini,1,False,High (3h+)
Pooja,"Lloyd Business School, Greater Noida",Management,4,Bard,2.1,"Content Writing, Resume Writing",2,0,False,Gemini,4,False,Uttar Pradesh,Mobile,Medium,Bard,1,False,Medium (1-3h)
Kavya,Asian Institute Of Management And Technology,Management,3,ChatGPT,2.8,"Doubt Solving, Assignments, Learning new topics",3,4,True,Bard,7,False,Assam,Mobile,Medium,ChatGPT,1,True,Medium (1-3h)
Aishwarya,Bharathiyar College Of Engineering And Technology,Engineering,2,Other,2.5,"Learning new topics, MCQ Practice",4,4,False,Other,8,False,Puducherry,Tablet,Poor,Other,1,True,Medium (1-3h)
Shreya,"Buddha Institute Of Technology- [Bit], Gaya",Commerce,3,Claude,4.6,Learning new topics,5,2,False,Copilot,7,False,Bihar,Mobile,Medium,Claude,1,True,High (3h+)
Nandini,Sister Nivedita University,Engineering,2,Copilot,0.7,"Learning new topics, Coding Help",5,-4,False,ChatGPT,3,True,West Bengal,Laptop,Poor,Copilot,1,True,Low (<1h)
Aarav,Assam Engineering College,Engineering,2,Claude,0.9,Exam Preparation,3,-5,False,ChatGPT,7,False,Assam,Mobile,High,Claude,1,False,Low (<1h)
Vivaan,"Manohar Lal Mahavidhyalaya, Kanpur",Arts,1,Copilot,1.5,"Coding Help, Learning new topics",2,-3,True,Copilot,8,True,Uttar Pradesh,Tablet,High,Copilot,1,True,Medium (1-3h)
Aditya,Indian Institute Of Technology,Arts,4,Bard,0.5,Assignments,3,-2,True,Bard,10,True,Andhra Pradesh,Mobile,High,Bard,1,True,Low (<1h)
Vihaan,State Institute Of Hotel Management Catering Technology,Agriculture,2,Copilot,1.0,Project Work,5,2,True,ChatGPT,8,False,Himachal Pradesh,Tablet,Poor,Copilot,1,False,Low (<1h)
Arjun,Kirloskar Institute Of Advanced Management Studies,Management,2,Other,1.1,"Assignments, Learning new topics",2,4,False,Gemini,2,False,Karnataka,Mobile,Medium,Other,1,True,Medium (1-3h)
Sai,"Post Graduate Government College For Girls, Chandigarh",Commerce,1,Claude,4.4,Project Work,3,-1,True,Copilot,2,False,Chandigarh,Mobile,Poor,Claude,1,False,High (3h+)
Reyansh,Mediciti Institute Of Medical Sciences,Medical,1,Bard,3.8,"Resume Writing, Assignments",3,3,False,Other,3,True,Telangana,Tablet,Medium,Bard,1,True,High (3h+)
Ayaan,Birla Institute Of Technology And Science,Engineering,2,Gemini,0.8,"Assignments, Content Writing",2,-5,True,ChatGPT,6,True,Goa,Tablet,Medium,Gemini,1,True,Low (<1h)
Krishna,Institute Of Business Management,Management,4,Copilot,0.7,"MCQ Practice, Content Writing, Resume Writing",1,5,False,Copilot,2,False,Uttar Pradesh,Laptop,Poor,Copilot,1,False,Low (<1h)
Ishaan,"Monad University, Hapur",Agriculture,4,Claude,2.0,Exam Preparation,4,0,False,ChatGPT,7,False,Uttar Pradesh,Laptop,Medium,Claude,1,False,Medium (1-3h)
Rudra,"Coxtan Administrative & Management College, Dhanbad",Medical,2,Bard,1.8,Coding Help,3,5,False,Copilot,8,True,Jharkhand,Mobile,Poor,Bard,1,False,Medium (1-3h)
Dhruv,Netaji Subhas University,Arts,4,Copilot,2.5,"Learning new topics, Project Work, Resume Writing",1,-4,False,Copilot,9,True,Jharkhand,Mobile,Poor,Copilot,1,True,Medium (1-3h)
Kabir,"Adesh University, Bathinda",Management,4,ChatGPT,1.1,Learning new topics,3,1,True,Bard,3,False,Punjab,Laptop,High,ChatGPT,1,True,Medium (1-3h)
Atharv,Shri Guru Ram Rai University,Commerce,4,ChatGPT,3.1,"Learning new topics, Project Work, Resume Writing",3,-2,True,ChatGPT,3,False,Uttarakhand,Tablet,High,ChatGPT,1,True,High (3h+)
Om,College Of Engineering,Engineering,1,Copilot,4.0,"Exam Preparation, MCQ Practice, Content Writing",3,2,True,ChatGPT,3,True,Maharashtra,Laptop,High,Copilot,1,False,High (3h+)
Anaya,Tezpur Medical College & Hospital,Medical,4,ChatGPT,4.1,"Learning new topics, Coding Help",5,3,False,Copilot,3,False,Assam,Laptop,High,ChatGPT,1,True,High (3h+)
Siya,Sunder Deep Pharmacy College,Pharmacy,2,ChatGPT,4.9,MCQ Practice,4,-5,False,Bard,10,True,Delhi Ncr,Laptop,Medium,ChatGPT,1,False,High (3h+)
Diya,"Doaba College, Jalandhar",Arts,2,Bard,4.5,Content Writing,4,2,False,Claude,10,True,Punjab,Mobile,High,Bard,1,False,High (3h+)
Myra,"Rkdf University, Bhopal",Agriculture,1,Claude,2.6,"Learning new topics, Resume Writing, Project Work",5,5,True,Gemini,7,False,Madhya Pradesh,Mobile,Medium,Claude,1,True,Medium (1-3h)
Aadhya,Prasad V. Potluri Siddhartha Institute Of Technology,Engineering,2,Copilot,1.2,"MCQ Practice, Learning new topics",5,-1,True,Copilot,4,False,Andhra Pradesh,Mobile,Poor,Copilot,1,True,Medium (1-3h)
Riya,Birla Institute Of Technology And Science,Management,3,Bard,2.9,"Resume Writing, Doubt Solving, Coding Help",5,4,False,Bard,1,False,Telangana,Mobile,Poor,Bard,1,False,Medium (1-3h)
Pari,"Starex University, Gurgaon",Agriculture,3,Other,1.4,"Project Work, Assignments, MCQ Practice",5,-1,False,Claude,4,False,Delhi Ncr,Laptop,High,Other,1,True,Medium (1-3h)
Anika,"University Of Jammu, Jammu",Arts,1,Other,0.8,"Project Work, Exam Preparation",4,-2,False,Bard,3,False,Jammu,Tablet,Poor,Other,1,False,Low (<1h)
Ira,"Merit Swiss Asian School Of Hotel Management,",Hotel-Management,3,Claude,1.1,"Doubt Solving, Coding Help",3,-2,False,ChatGPT,5,True,Tamil Nadu,Mobile,High,Claude,1,False,Medium (1-3h)
Meera,"Dibrugarh University, Dibrugarh",Pharmacy,1,ChatGPT,1.8,"Project Work, MCQ Practice",2,0,False,Gemini,3,True,Assam,Tablet,Poor,ChatGPT,1,False,Medium (1-3h)
Saanvi,"University School Of Business, Chandigarh University",Arts,4,Copilot,2.7,Project Work,5,2,True,Gemini,10,True,Punjab,Mobile,High,Copilot,1,False,Medium (1-3h)
Navya,"Kj Somaiya Institute Of Management, Mumbai",Management,3,Claude,3.2,"Exam Preparation, Content Writing, Doubt Solving",1,-4,False,Gemini,5,False,Maharashtra,Laptop,High,Claude,1,False,High (3h+)
Aarohi,Belagavi Institute Of Medical Sciences,Medical,1,Claude,0.7,"MCQ Practice, Learning new topics, Content Writing",3,-4,False,Bard,8,True,Karnataka,Tablet,High,Claude,1,True,Low (<1h)
Prisha,"Blde Association'S As Patil College Of Commerce,",Commerce,1,Gemini,4.9,"Learning new topics, Doubt Solving",5,0,True,Gemini,10,False,Karnataka,Tablet,Medium,Gemini,1,True,High (3h+)
Ishita,Birla Institute Of Technology And Science,Engineering,1,ChatGPT,1.1,"Exam Preparation, Doubt Solving",2,4,True,Copilot,10,False,Rajasthan,Mobile,Medium,ChatGPT,1,False,Medium (1-3h)
Rakhi,Graphic Era Hill University Bhimtal Campus,Engineering,3,Bard,2.0,"Doubt Solving, Exam Preparation, Learning new topics",5,-1,False,ChatGPT,6,True,Uttarakhand,Tablet,Medium,Bard,1,True,Medium (1-3h)
Ramya,Maharashtra Institute Of Medical Education And Research,Medical,4,Bard,1.9,"Assignments, Exam Preparation, Resume Writing",5,4,True,Other,1,True,Maharashtra,Mobile,Poor,Bard,1,True,Medium (1-3h)
Sneha,Radha Govind University,Commerce,4,Gemini,4.2,Assignments,5,-4,True,ChatGPT,8,False,Jharkhand,Laptop,Medium,Gemini,1,True,High (3h+)
Divya,Jai Narain Vyas University,Medical,4,Other,1.4,"Exam Preparation, Assignments, Learning new topics",2,3,True,Bard,6,True,Rajasthan,Tablet,High,Other,1,True,Medium (1-3h)
Neha,Rabindranath Tagore University,Science,3,Gemini,2.6,"Learning new topics, Doubt Solving, Exam Preparation",3,4,False,Gemini,4,False,Madhya Pradesh,Tablet,High,Gemini,1,True,Medium (1-3h)
Pooja,"Kamadhenu College Of Arts & Science, Dharmapuri",Arts,2,Copilot,4.0,"MCQ Practice, Exam Preparation, Resume Writing",4,0,False,Copilot,2,True,Tamil Nadu,Laptop,High,Copilot,1,False,High (3h+)
Kavya,"Government College, Kasaragod",Commerce,2,Copilot,0.7,"Coding Help, Learning new topics, MCQ Practice",3,2,True,Gemini,9,True,Kerala,Tablet,Poor,Copilot,1,True,Low (<1h)
Aishwarya,"Doaba College, Jalandhar",Arts,3,Gemini,1.0,"MCQ Practice, Doubt Solving, Assignments",5,-2,True,ChatGPT,2,True,Punjab,Laptop,Poor,Gemini,1,True,Low (<1h)
Shreya,"Mats University, Raipur",Commerce,4,ChatGPT,3.6,Assignments,5,-3,False,Other,8,True,Chhattisgarh,Tablet,High,ChatGPT,1,True,High (3h+)
Nandini,Mahe Co-Operative Centre For Information Technology,Management,3,Copilot,1.8,Coding Help,5,-2,True,Gemini,7,False,Puducherry,Mobile,High,Copilot,1,False,Medium (1-3h)
Aarav,"Pachhunga University College, Aizawl",Arts,4,Gemini,4.7,"Assignments, Doubt Solving",3,4,True,Copilot,5,False,Mizoram,Tablet,Medium,Gemini,1,True,High (3h+)
Vivaan,"Faculty Of Law, Banaras Hindu University, Varanasi",Law,4,Gemini,4.3,"Content Writing, MCQ Practice",1,0,True,Other,8,True,Uttar Pradesh,Tablet,Medium,Gemini,1,False,High (3h+)
Aditya,Dr. Dy Patil Institute Of Hotel Management,Hotel-Management,1,Other,2.0,"MCQ Practice, Resume Writing",5,5,False,Claude,9,True,Maharashtra,Mobile,Medium,Other,1,False,Medium (1-3h)
Vihaan,Kabi Nazrul Mahavidyalaya,Arts,1,Gemini,4.9,"Learning new topics, MCQ Practice",1,-1,False,Gemini,8,True,Tripura,Laptop,Poor,Gemini,1,True,High (3h+)
Arjun,Shri Ram Murti Smarak College Of Engineering,Management,1,Copilot,3.4,"MCQ Practice, Assignments, Learning new topics",1,2,False,Gemini,7,False,Uttar Pradesh,Tablet,Poor,Copilot,1,True,High (3h+)
Sai,Apeejay Stya University,Pharmacy,3,Copilot,3.3,Resume Writing,4,-3,False,Other,10,True,Delhi Ncr,Laptop,Medium,Copilot,1,False,High (3h+)
Reyansh,"Shridhar University, Pilani",Hotel-Management,4,Bard,4.1,MCQ Practice,5,-4,False,Bard,6,True,Rajasthan,Tablet,Poor,Bard,1,False,High (3h+)
Ayaan,"Icfai University, Raipur",Management,1,Bard,4.6,Doubt Solving,2,-3,False,Bard,8,False,Chhattisgarh,Tablet,High,Bard,1,False,High (3h+)
Krishna,"Ramnarain Ruia Autonomous College, Mumbai",Pharmacy,4,ChatGPT,4.5,"Assignments, Exam Preparation",2,3,False,Claude,10,True,Maharashtra,Tablet,Medium,ChatGPT,1,True,High (3h+)
Ishaan,Indian Institute Of Management,Law,3,Other,0.6,"Assignments, MCQ Practice",5,-4,True,Claude,6,False,Delhi Ncr,Tablet,Medium,Other,1,True,Low (<1h)
Rudra,Manav Rachna International Institute Of Research And,Engineering,1,Claude,0.6,"Resume Writing, Doubt Solving",4,0,False,Claude,7,False,Haryana,Mobile,High,Claude,1,False,Low (<1h)
Dhruv,"Gls Institute Of Computer Application, Ahmedabad",Science,2,Other,4.4,Resume Writing,5,1,True,Other,4,False,Gujarat,Mobile,High,Other,1,False,High (3h+)
Kabir,Narendra Deva University Of Agriculture And Technology,Medical,4,Other,3.7,"Doubt Solving, Project Work",2,-2,False,Copilot,3,True,Uttar Pradesh,Mobile,Poor,Other,1,False,High (3h+)
Atharv,"Amity University, Noida",Pharmacy,1,ChatGPT,4.1,"Assignments, MCQ Practice",2,-4,True,Bard,1,False,Delhi Ncr,Tablet,Medium,ChatGPT,1,True,High (3h+)
Om,Rabindranath Tagore University,Management,1,Gemini,3.8,"Exam Preparation, MCQ Practice",5,-2,True,Gemini,9,False,Madhya Pradesh,Mobile,Medium,Gemini,1,False,High (3h+)
Anaya,Mahendra Institute Of Management And Technical Studies,Commerce,3,Bard,3.2,"Learning new topics, MCQ Practice, Resume Writing",2,5,True,Claude,5,True,Orissa,Mobile,Medium,Bard,1,True,High (3h+)
Siya,Institute Of Advanced Management,Hotel-Management,2,Other,3.6,"Exam Preparation, Assignments, Resume Writing",4,3,False,Other,7,True,Assam,Mobile,Poor,Other,1,True,High (3h+)
Diya,"The Global University, Itanagar",Agriculture,4,Gemini,3.9,"MCQ Practice, Doubt Solving",3,-3,False,ChatGPT,9,True,Arunachal Pradesh,Laptop,Poor,Gemini,1,False,High (3h+)
Myra,"Amity University, Gurgaon",Engineering,2,Claude,1.6,Learning new topics,1,2,False,ChatGPT,9,False,Haryana,Mobile,Medium,Claude,1,True,Medium (1-3h)
Aadhya,Iec University Baddi,Law,4,Other,3.2,Coding Help,2,4,True,Claude,4,True,Himachal Pradesh,Laptop,Poor,Other,1,False,High (3h+)
Riya,International Institute Of Information Technology,Engineering,2,Gemini,4.8,Exam Preparation,2,4,True,Claude,4,False,Karnataka,Laptop,High,Gemini,1,False,High (3h+)
Pari,G D Goenka University,Hotel-Management,4,Bard,3.4,"Content Writing, Learning new topics",5,2,False,ChatGPT,8,True,Delhi Ncr,Mobile,Poor,Bard,1,True,High (3h+)
Anika,Indian Institute Of Management Visakhapatnam,Management,3,Claude,0.7,Resume Writing,1,-1,False,Copilot,3,False,Andhra Pradesh,Laptop,Poor,Claude,1,False,Low (<1h)
Ira,"Teerthanker Mahaveer University, College Of Architecture",Law,4,Bard,4.3,"Doubt Solving, Learning new topics",3,2,False,Claude,3,True,Uttar Pradesh,Mobile,Medium,Bard,1,True,High (3h+)
Meera,"Devi Ahilya Vishwavidyalaya, Indore",Pharmacy,4,Gemini,4.6,"Assignments, Doubt Solving, Project Work",1,5,True,ChatGPT,7,False,Madhya Pradesh,Tablet,Poor,Gemini,1,True,High (3h+)
Saanvi,"Institute Of Distance Education, Rajiv Gandhi University, Itanagar",Science,1,Other,1.2,Doubt Solving,4,0,True,Bard,10,False,Arunachal Pradesh,Tablet,High,Other,1,False,Medium (1-3h)
Navya,Dr Bc Roy College Of Pharmacy And,Pharmacy,1,ChatGPT,2.9,"Assignments, Doubt Solving",5,-1,False,ChatGPT,9,False,West Bengal,Mobile,Medium,ChatGPT,1,True,Medium (1-3h)
Aarohi,"Rkdf University, Ranchi",Agriculture,1,Bard,1.2,Doubt Solving,3,0,False,Claude,2,True,Jharkhand,Laptop,High,Bard,1,False,Medium (1-3h)
Prisha,"Integral University, Lucknow",Medical,2,Other,1.5,"Coding Help, Assignments, Exam Preparation",4,1,False,Bard,8,False,Uttar Pradesh,Tablet,Medium,Other,1,True,Medium (1-3h)
Ishita,Dr Dy Patil Medical College Hospital And,Medical,2,ChatGPT,2.7,"Learning new topics, Coding Help",5,-5,True,Gemini,10,True,Maharashtra,Laptop,Poor,ChatGPT,1,True,Medium (1-3h)
Rakhi,Sri Guru Granth Sahib World University,Medical,1,Other,4.7,"Assignments, Resume Writing, Project Work",3,-5,True,Bard,3,False,Punjab,Mobile,Medium,Other,1,True,High (3h+)
Ramya,"Rimt College Of Architecture, Fatehgarh Sahib",Agriculture,2,Bard,1.6,"Doubt Solving, Learning new topics",4,-3,True,Bard,6,True,Punjab,Mobile,Medium,Bard,1,True,Medium (1-3h)
Sneha,"Institute Of Media Management , Technology &",Hotel-Management,2,ChatGPT,2.0,"Project Work, Learning new topics, Assignments",3,2,False,Gemini,6,False,Uttarakhand,Laptop,Medium,ChatGPT,1,True,Medium (1-3h)
Divya,"Iilm University, Gurgaon",Management,4,ChatGPT,4.0,"MCQ Practice, Coding Help",1,-1,True,Claude,3,False,Haryana,Laptop,Poor,ChatGPT,1,False,High (3h+)
Neha,Anand Arts College,Arts,1,ChatGPT,0.5,"Exam Preparation, Learning new topics",3,-4,True,ChatGPT,3,True,Gujarat,Laptop,High,ChatGPT,1,True,Low (<1h)
Pooja,"Srm University Delhi Ncr, Sonepat",Management,4,ChatGPT,0.6,"Doubt Solving, Coding Help",5,4,False,Claude,1,False,Haryana,Laptop,Medium,ChatGPT,1,False,Low (<1h)
Kavya,"Centurion University Of Technology And Management, School",Commerce,1,Other,4.6,Doubt Solving,2,5,False,Gemini,3,True,Orissa,Laptop,Medium,Other,1,False,High (3h+)
Aishwarya,"Pg Government College For Girls, Chandigarh",Management,4,Gemini,0.8,"Content Writing, Project Work",3,2,True,Copilot,5,True,Chandigarh,Tablet,Medium,Gemini,1,False,Low (<1h)
Shreya,Birla Institute Of Technology,Science,4,Bard,3.3,"Coding Help, Resume Writing",3,-5,False,Copilot,10,False,Bihar,Laptop,Medium,Bard,1,False,High (3h+)
Nandini,"Artex Informatic Solutions, Chandigarh",Engineering,3,Claude,4.2,"Resume Writing, Content Writing, Doubt Solving",5,-2,False,Copilot,3,False,Chandigarh,Laptop,Medium,Claude,1,False,High (3h+)
Aarav,"Sai Nath University, Ranchi",Engineering,4,Bard,4.0,"Project Work, Content Writing",4,0,True,Bard,4,False,Jharkhand,Tablet,High,Bard,1,False,High (3h+)
Vivaan,Army Institute Of Nursing,Medical,1,Other,2.6,"MCQ Practice, Exam Preparation, Project Work",3,-4,False,Other,8,False,Assam,Tablet,High,Other,1,False,Medium (1-3h)
Aditya,Vinayaka Missions University,Pharmacy,2,Copilot,3.5,"Project Work, Doubt Solving, Assignments",4,4,False,Bard,7,False,Tamil Nadu,Tablet,Medium,Copilot,1,True,High (3h+)
Vihaan,Royal Global University,Engineering,3,Other,4.5,"Coding Help, Doubt Solving, Project Work",2,5,False,Gemini,10,False,Assam,Tablet,High,Other,1,False,High (3h+)
Arjun,"Directorate Of Coldwater Fisheries Research, Nainital",Agriculture,4,Copilot,4.8,"Coding Help, Assignments",1,-1,True,Bard,9,True,Uttarakhand,Laptop,Poor,Copilot,1,True,High (3h+)
Sai,Institute Of Technology And Science,Management,4,Claude,4.0,"Doubt Solving, Resume Writing, Exam Preparation",1,2,True,Copilot,7,False,Uttar Pradesh,Mobile,High,Claude,1,False,High (3h+)
Reyansh,T John Institute Of Management And Science,Hotel-Management,2,Copilot,1.9,"MCQ Practice, Exam Preparation",3,2,True,Claude,8,False,Karnataka,Mobile,Poor,Copilot,1,False,Medium (1-3h)
Ayaan,"Gems Arts And Science College, Malappuram",Arts,1,Other,1.0,"Coding Help, Resume Writing",2,3,True,Bard,3,False,Kerala,Tablet,Medium,Other,1,False,Low (<1h)
Krishna,Centurion University Of Technology And Management,Pharmacy,4,Gemini,4.1,"Resume Writing, Doubt Solving, Learning new topics",4,1,True,Other,10,False,Andhra Pradesh,Laptop,Poor,Gemini,1,True,High (3h+)
Ishaan,"Goa University, North Goa",Commerce,4,Claude,0.5,MCQ Practice,3,-4,True,Bard,3,False,Goa,Laptop,Medium,Claude,1,False,Low (<1h)
Rudra,Central Marine Fisheries Research Institute,Agriculture,4,ChatGPT,1.7,"Doubt Solving, Learning new topics",5,1,False,Bard,2,True,Tamil Nadu,Laptop,High,ChatGPT,1,True,Medium (1-3h)
Dhruv,Central Institute Of Plastics Engineering And Technology,Engineering,2,Other,3.7,"Coding Help, Resume Writing",3,-4,True,Copilot,2,False,Bihar,Laptop,Poor,Other,1,False,High (3h+)
Kabir,Dev Bhoomi Group Of Institutions,Arts,2,Bard,2.2,"Resume Writing, Project Work, MCQ Practice",2,2,True,Bard,3,True,Uttarakhand,Laptop,Poor,Bard,1,False,Medium (1-3h)
Atharv,St. Xavier'S University,Commerce,2,Copilot,4.3,"Assignments, Learning new topics, Doubt Solving",4,-3,True,Claude,9,True,West Bengal,Laptop,High,Copilot,1,True,High (3h+)
Om,"Brd College Of Management And Sciences, Dehradun",Management,4,Claude,3.7,"Exam Preparation, Resume Writing",1,4,True,Gemini,5,False,Uttarakhand,Laptop,Poor,Claude,1,False,High (3h+)
Anaya,Bengal Institute Of Technology,Engineering,3,Gemini,4.0,"Exam Preparation, Coding Help, Content Writing",1,-1,False,Bard,1,False,West Bengal,Tablet,Poor,Gemini,1,False,High (3h+)
Siya,Sardar Bhagwan Singh Post Graduate Institute Of,Medical,4,ChatGPT,3.8,"MCQ Practice, Content Writing, Project Work",1,2,False,Copilot,2,False,Uttarakhand,Mobile,High,ChatGPT,1,False,High (3h+)
Diya,"Shillong College, Shillong",Management,2,Other,3.1,"Project Work, Resume Writing",5,-3,True,Gemini,1,False,Meghalaya,Tablet,Poor,Other,1,False,High (3h+)
Myra,Christ Institute Of Technology,Engineering,2,Copilot,4.9,"Content Writing, Doubt Solving",5,5,True,Gemini,7,True,Puducherry,Laptop,Medium,Copilot,1,False,High (3h+)
Aadhya,National Institute Of Technology,Engineering,2,Other,4.4,Resume Writing,3,-2,False,Claude,3,False,Chhattisgarh,Tablet,Poor,Other,1,False,High (3h+)
Riya,"Mvp Samaj'S College Of Pharmacy, Nashik",Pharmacy,4,Claude,0.8,Project Work,5,-1,False,Claude,8,False,Maharashtra,Tablet,Medium,Claude,1,False,Low (<1h)
Pari,"Gems Arts And Science College, Malappuram",Arts,1,Other,4.9,"Learning new topics, Coding Help, Project Work",5,1,True,Claude,4,True,Kerala,Laptop,Poor,Other,1,True,High (3h+)
Anika,"Mody University, Sikar",Agriculture,3,Copilot,3.0,Exam Preparation,3,5,True,ChatGPT,2,True,Rajasthan,Mobile,High,Copilot,1,False,Medium (1-3h)
Ira,Central University Of Kashmir,Science,2,Claude,2.6,"MCQ Practice, Resume Writing",3,-3,False,ChatGPT,6,True,Jammu,Mobile,Medium,Claude,1,False,Medium (1-3h)
Meera,Institute Of Advanced Studies In Education,Engineering,2,ChatGPT,2.3,"MCQ Practice, Project Work",1,-4,True,Gemini,8,False,Rajasthan,Mobile,Medium,ChatGPT,1,False,Medium (1-3h)
Saanvi,B.K Birla College Of Arts Science &,Commerce,2,Bard,3.6,Assignments,3,-4,False,Other,3,True,Maharashtra,Mobile,High,Bard,1,True,High (3h+)
Navya,J.S. University,Pharmacy,4,ChatGPT,3.8,Coding Help,3,0,False,Gemini,7,False,Uttar Pradesh,Tablet,Poor,ChatGPT,1,False,High (3h+)
Aarohi,"Rama University, Kanpur",Law,2,ChatGPT,2.9,Resume Writing,4,0,True,Other,3,True,Uttar Pradesh,Tablet,Medium,ChatGPT,1,False,Medium (1-3h)
Prisha,Baba Banda Singh Bahadur Engineering College,Engineering,4,Gemini,0.9,Resume Writing,1,4,False,Copilot,7,False,Punjab,Mobile,Medium,Gemini,1,False,Low (<1h)
Ishita,"Idhaya Arts And Science College For Women, Pondicherry",Arts,3,Other,0.9,"Content Writing, Assignments, Project Work",3,-2,True,Other,7,True,Puducherry,Tablet,High,Other,1,True,Low (<1h)
